year,exportsUsaToChina,percentExportsUsToChina,importsUsaFromChina,percentImportsUsaFromChina,exportsChinaToUsa,percentExportsChinaToUsa,importsChinaFromUsa,percentImportsChinaFromUsa
2021,151000000000,9.26,530000000000,19.4,530000000000,15.9,151000000000,7.65
2020,122000000000,9.08,438000000000,19.5,438000000000,16.5,122000000000,7.86
2019,102000000000,6.77,430000000000,18.1,430000000000,16.5,102000000000,6.5
2018,119000000000,7.69,504000000000,20.8,504000000000,19.2,119000000000,7.42
2017,127000000000,8.76,459000000000,20.6,459000000000,19,127000000000,9.03
2016,114000000000,8.49,408000000000,19.8,408000000000,18.3,114000000000,9.71
2015,118000000000,8.45,435000000000,20.5,435000000000,18.4,118000000000,9.81
2014,125000000000,8.29,425000000000,19,425000000000,17.5,125000000000,8.55
2013,123000000000,8.35,399000000000,18.5,399000000000,17.6,123000000000,8.39
2012,109000000000,7.55,382000000000,17.9,382000000000,17.5,109000000000,8.03
2011,101000000000,7.15,349000000000,16.7,349000000000,17,101000000000,7.52
2010,87900000000,7.35,323000000000,17.8,323000000000,18.3,87900000000,8.25
2009,67600000000,6.73,249000000000,16.8,249000000000,18.5,67600000000,8.74
2008,68600000000,5.34,288000000000,14.4,288000000000,17.9,68600000000,8.17
2007,62800000000,5.5,270000000000,14.4,270000000000,19.4,62800000000,8.74
2006,53400000000,5.18,238000000000,13.3,238000000000,21.1,53400000000,9.17
2005,40300000000,4.56,197000000000,12.3,197000000000,22,40300000000,8.24
2004,35100000000,4.35,154000000000,10.9,154000000000,21.6,35100000000,8.42
2003,28500000000,3.87,121000000000,10,121000000000,22.4,28500000000,8.96
2002,22400000000,3.17,98400000000,8.79,98400000000,23.4,22400000000,9.97
2001,19500000000,2.61,77300000000,7.02,77300000000,22,19500000000,10.5
2000,16400000000,2.04,73800000000,6.26,73800000000,22.1,16400000000,9.55
1999,13600000000,1.94,63800000000,6.5,63800000000,24.3,13600000000,10.8
1998,14500000000,2.1,54200000000,6.14,54200000000,22.8,14500000000,12.5
1997,13300000000,1.92,48200000000,5.71,48200000000,20.4,13300000000,10.7
1996,13100000000,2.06,40400000000,5.18,40400000000,19.8,13100000000,9.97
1995,12400000000,2.11,36900000000,5.04,36900000000,19.1,12400000000,9.95